Error,Max Depth,Learning Rate
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
